代码,公司,范围,板块,数据日期,最新价,涨跌幅,合理下限,合理上限,合理估值范围,估值状态,置信度,估值位置,趋势阶段,趋势条件,相对强弱,波动收缩,板块强弱,行动,入场条件,失效条件,原因
688369.SH,致远互联,人工智能应用,人工智能办公与生产力工具,2026-08-11,21.43,-0.030316742081448078,18.0,25.0,18.0–25.0,低置信度研究区间,较低,合理区间,弱势阶段,2,11.428571428571429,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300378.SZ,鼎捷数智,人工智能应用,企业软件／ERP／SaaS,2026-08-11,35.86,-0.01807228915662662,28.0,38.0,28.0–38.0,低置信度研究区间,较低,合理区间,弱势阶段,2,12.142857142857142,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688365.SH,光云科技,人工智能应用,企业软件／ERP／SaaS,2026-08-11,16.32,0.008652657601977864,13.0,18.0,13.0–18.0,低置信度研究区间,较低,合理区间,弱势阶段,3,35.714285714285715,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002153.SZ,石基信息,人工智能应用,企业软件／ERP／SaaS,2026-08-11,8.85,-0.02101769911504414,8.0,12.0,8.00–12.0,低置信度研究区间,较低,合理区间,弱势阶段,1,23.57142857142857,候选,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
603171.SH,税友股份,人工智能应用,企业软件／ERP／SaaS,2026-08-11,47.2,-0.015846538782318564,38.0,50.0,38.0–50.0,低置信度研究区间,较低,合理区间,弱势阶段,3,37.857142857142854,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300058.SZ,蓝色光标,人工智能应用,人工智能营销与广告,2026-08-11,15.6,-0.02985074626865658,12.0,17.0,12.0–17.0,低置信度研究区间,较低,合理区间,整理过渡,5,74.28571428571429,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
301171.SZ,易点天下,人工智能应用,人工智能营销与广告,2026-08-11,38.02,0.0018445322793148033,32.0,45.0,32.0–45.0,低置信度研究区间,较低,合理区间,整理过渡,5,60.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
600986.SH,浙文互联,人工智能应用,人工智能营销与广告,2026-08-11,8.14,0.013698630136986356,6.0,8.0,6.00–8.00,低置信度研究区间,较低,偏高观察,弱势阶段,3,35.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002400.SZ,省广集团,人工智能应用,人工智能营销与广告,2026-08-11,6.91,-0.004322766570605263,5.0,7.0,5.00–7.00,低置信度研究区间,较低,合理区间,弱势阶段,2,30.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300229.SZ,拓尔思,人工智能应用,人工智能数据与知识服务,2026-08-11,14.97,-0.006635700066356942,13.0,18.0,13.0–18.0,低置信度研究区间,较低,合理区间,弱势阶段,1,5.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300766.SZ,每日互动,人工智能应用,人工智能数据与知识服务,2026-08-11,24.93,0.018798528810788806,20.0,28.0,20.0–28.0,低置信度研究区间,较低,合理区间,弱势阶段,2,8.571428571428571,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688031.SH,星环科技-U,人工智能应用,人工智能数据与知识服务,2026-08-11,114.0,0.007868446644859084,90.0,125.0,90.0–125,低置信度研究区间,较低,合理区间,整理过渡,5,70.71428571428572,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688228.SH,开普云,人工智能应用,人工智能数据与知识服务,2026-08-11,74.89,0.011207129354577239,60.0,80.0,60.0–80.0,低置信度研究区间,较低,合理区间,弱势阶段,1,47.85714285714286,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300624.SZ,万兴科技,人工智能应用,人工智能内容生成,2026-08-11,55.96,0.003946896304269698,42.0,62.0,42.0–62.0,低置信度研究区间,较低,合理区间,弱势阶段,1,15.714285714285714,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300364.SZ,中文在线,人工智能应用,人工智能内容生成,2026-08-11,25.22,-0.018677042801556465,18.0,25.0,18.0–25.0,低置信度研究区间,较低,偏高观察,弱势阶段,3,36.42857142857142,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
000681.SZ,视觉中国,人工智能应用,人工智能内容生成,2026-08-11,18.16,-0.010893246187363759,15.0,20.0,15.0–20.0,低置信度研究区间,较低,合理区间,弱势阶段,0,29.28571428571429,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
301052.SZ,果麦文化,人工智能应用,人工智能内容生成,2026-08-11,25.0,0.0008006405124099114,18.0,25.0,18.0–25.0,低置信度研究区间,较低,合理区间,弱势阶段,1,2.142857142857143,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
002555.SZ,三七互娱,人工智能应用,人工智能游戏,2026-08-11,19.6,-0.019019019019018923,22.7,37.8,22.7–37.8,已审计估值区间,中等,合理偏低,弱势阶段,2,49.28571428571429,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002517.SZ,恺英网络,人工智能应用,人工智能游戏,2026-08-11,17.96,-0.01911523757509548,20.3,33.8,20.3–33.8,已审计估值区间,中等,合理偏低,弱势阶段,1,37.142857142857146,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002602.SZ,世纪华通,人工智能应用,人工智能游戏,2026-08-11,14.21,-0.006988120195667302,20.5,34.2,20.5–34.2,已审计估值区间,中等,明显低估,弱势阶段,1,45.0,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002624.SZ,完美世界,人工智能应用,人工智能游戏,2026-08-11,11.67,-0.005115089514066584,15.0,25.0,15.0–25.0,已审计估值区间,中等,明显低估,弱势阶段,1,22.857142857142858,候选,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
002230.SZ,科大讯飞,人工智能应用,人工智能教育,2026-08-11,42.88,-0.014026212922510939,50.0,70.0,50.0–70.0,低置信度研究区间,较低,合理偏低,弱势阶段,1,28.57142857142857,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300010.SZ,豆神教育,人工智能应用,人工智能教育,2026-08-11,2.27,-0.01304347826086949,2.0,3.0,2.00–3.00,低置信度研究区间,较低,合理区间,弱势阶段,1,0.0,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300559.SZ,佳发教育,人工智能应用,人工智能教育,2026-08-11,11.13,-0.02539404553415059,10.0,14.0,10.0–14.0,低置信度研究区间,较低,合理区间,弱势阶段,2,33.57142857142857,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300359.SZ,全通教育,人工智能应用,人工智能教育,2026-08-11,4.35,-0.015837104072398245,4.0,5.5,4.00–5.50,低置信度研究区间,较低,合理区间,弱势阶段,2,10.714285714285714,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300253.SZ,卫宁健康,人工智能应用,人工智能医疗,2026-08-11,7.88,0.0012706480304955914,9.0,12.0,9.00–12.0,低置信度研究区间,较低,合理偏低,弱势阶段,2,19.28571428571429,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300451.SZ,创业慧康,人工智能应用,人工智能医疗,2026-08-11,3.68,-0.0027100271002709064,4.0,6.0,4.00–6.00,低置信度研究区间,较低,合理偏低,弱势阶段,1,6.428571428571428,候选,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688246.SH,嘉和美康,人工智能应用,人工智能医疗,2026-08-11,19.34,-0.009728622631848483,18.0,25.0,18.0–25.0,低置信度研究区间,较低,合理区间,弱势阶段,0,2.857142857142857,未形成,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300078.SZ,思创医惠,人工智能应用,人工智能医疗,2026-08-11,3.16,-0.003154574132492094,2.5,4.0,2.50–4.00,低置信度研究区间,较低,合理区间,弱势阶段,1,21.428571428571427,候选,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300033.SZ,同花顺,人工智能应用,人工智能金融,2026-08-11,235.99,-0.010565594733973338,286.0,392.0,286–392,已审计估值区间,中等,明显低估,整理过渡,3,47.14285714285714,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
300059.SZ,东方财富,人工智能应用,人工智能金融,2026-08-11,19.84,-0.00948577134298556,25.0,35.1,25.0–35.1,已审计估值区间,中等,明显低估,弱势阶段,1,24.285714285714285,未形成,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
600570.SH,恒生电子,人工智能应用,人工智能金融,2026-08-11,22.8,-0.011703511053316018,28.8,39.5,28.8–39.5,已审计估值区间,中等,明显低估,弱势阶段,1,7.142857142857142,候选,中,观察,—,—,估值可接受，但尚未满足完整第二阶段趋势条件
601519.SH,大智慧,人工智能应用,人工智能金融,2026-08-11,8.16,-0.013301088270858408,6.0,9.0,6.00–9.00,低置信度研究区间,较低,合理区间,弱势阶段,0,4.285714285714286,候选,中,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300454.SZ,深信服,人工智能应用,人工智能安全,2026-08-11,125.55,0.012010317588263764,85.0,120.0,85.0–120,低置信度研究区间,较低,偏高观察,整理过渡,4,48.57142857142857,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688561.SH,奇安信-U,人工智能应用,人工智能安全,2026-08-11,27.47,0.027684249906472003,24.0,32.0,24.0–32.0,低置信度研究区间,较低,合理区间,弱势阶段,1,22.142857142857142,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688023.SH,安恒信息,人工智能应用,人工智能安全,2026-08-11,41.34,0.044203081586259074,45.0,65.0,45.0–65.0,低置信度研究区间,较低,合理偏低,弱势阶段,1,13.571428571428571,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688225.SH,亚信安全,人工智能应用,人工智能安全,2026-08-11,13.23,0.006849315068493178,12.0,16.0,12.0–16.0,低置信度研究区间,较低,合理区间,弱势阶段,1,7.857142857142857,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688777.SH,中控技术,人工智能应用,工业与垂直行业应用,2026-08-11,98.78,-0.040970873786407735,65.0,85.0,65.0–85.0,低置信度研究区间,较低,明显偏高,第二阶段候选,6,65.0,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
600845.SH,宝信软件,人工智能应用,工业与垂直行业应用,2026-08-11,18.31,-0.0005458515283843779,27.0,35.0,27.0–35.0,低置信度研究区间,较低,明显低估,弱势阶段,0,12.857142857142856,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
603859.SH,能科科技,人工智能应用,工业与垂直行业应用,2026-08-11,42.48,-0.012781780153381495,35.0,50.0,35.0–50.0,低置信度研究区间,较低,合理区间,弱势阶段,2,46.42857142857143,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
300682.SZ,朗新集团,人工智能应用,工业与垂直行业应用,2026-08-11,11.65,0.004310344827586299,10.0,14.0,10.0–14.0,低置信度研究区间,较低,合理区间,弱势阶段,1,3.571428571428571,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
01357.HK,美图公司,人工智能应用,消费端人工智能应用,2026-08-11,4.76,-0.01449275362318847,4.5,6.5,4.50–6.50,低置信度研究区间,较低,合理区间,弱势阶段,2,1.4285714285714286,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
03690.HK,美团-W,人工智能应用,消费端人工智能应用,2026-08-11,93.05,-0.009052183173589023,85.0,115.0,85.0–115,低置信度研究区间,较低,合理区间,整理过渡,3,20.0,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
09961.HK,携程集团-S,人工智能应用,消费端人工智能应用,2026-08-11,362.6,-0.005485463521667566,330.0,430.0,330–430,低置信度研究区间,较低,合理区间,弱势阶段,1,17.142857142857142,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
00780.HK,同程旅行,人工智能应用,消费端人工智能应用,2026-08-11,13.7,-0.021428571428571463,13.0,18.0,13.0–18.0,低置信度研究区间,较低,合理区间,弱势阶段,1,9.285714285714286,未形成,强,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
688229.SH,博睿数据,人工智能应用,人工智能可观测性 / 人工智能Ops / 智能运维,2026-08-11,72.88,0.038028770830366154,45.0,70.0,45.0–70.0,低置信度研究区间,较低,偏高观察,整理过渡,2,45.714285714285715,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
605398.SH,新炬网络,人工智能应用,人工智能可观测性 / 人工智能Ops / 智能运维,2026-08-11,21.02,0.0004759638267490818,18.0,25.0,18.0–25.0,低置信度研究区间,较低,合理区间,弱势阶段,1,10.0,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
01675.HK,亚信科技,人工智能应用,人工智能可观测性 / 人工智能Ops / 智能运维,2026-08-11,4.445,-0.014412416851441123,4.0,6.0,4.00–6.00,低置信度研究区间,较低,合理区间,弱势阶段,0,0.7142857142857143,未形成,弱,暂不参与,—,—,已有数值研究区间，但关键估值证据仍需继续交叉核验
